insured name,insured address,country of incorporation,business_description,risk_type,broker _contact,class_of_business,submission_date,claims_frequency,Largest_single_loss,incurred_Loss,Ultimate_Premium,Loss_Ratio,TIV
Crown Foods Ltd,"7 Business Park, City_135, UK",United States,Food Processing,Marine Hull,BMS Group,Marine,05-01-2026,4,3445582,9750925,10557520,0.9236,799868775
Crown Energy Services Ltd,"243 Business Park, City_143, UK",United States,Oil & Gas Services,Marine Hull,Gallagher London,Casualty,30-01-2026,3,671575,1755914,7711528,0.2277,881853749
Silverstone Technologies Ltd,"63 Business Park, City_31, UK",Germany,Food Processing,Products Liability,BMS Group,Marine,01-02-2026,2,3276027,3729895,4084423,0.9132,942507585
Ironclad Technologies Ltd,"240 Business Park, City_176, UK",Netherlands,Construction Contractor,General Liability,Howden UK,Products Liability,11-02-2026,5,125683,805388,2998467,0.2686,921531439
Summit Technologies Ltd,"210 Business Park, City_90, UK",France,Electronics Manufacturing,Industrial All Risks,Aon UK Ltd,Property Damage & BI,16-01-2026,6,4255708,4265249,8142898,0.5238,229340774
Redwood Energy Services Ltd,"195 Business Park, City_56, UK",Netherlands,Manufacturing,Products Liability,Howden UK,Products Liability,17-03-2026,6,663885,772438,3609528,0.214,641972108
Sterling Foods Ltd,"98 Business Park, City_47, UK",France,Electronics Manufacturing,Products Liability,Gallagher London,Products Liability,13-02-2026,3,7583727,8522192,10313679,0.8263,852019876
Oakridge Industries Ltd,"21 Business Park, City_145, UK",United Kingdom,Retail & Distribution,Marine Hull,Lockton Companies,Casualty,22-01-2026,1,1753310,2177543,3816234,0.5706,1054985226
BlueWave Foods Ltd,"135 Business Park, City_127, UK",United States,Manufacturing,Products Liability,WTW London,Energy,20-01-2026,4,626422,1425280,9183511,0.1552,1442548347
Northbridge Engineering Ltd,"177 Business Park, City_183, UK",Germany,Construction Contractor,Products Liability,Aon UK Ltd,Property Damage & BI,21-01-2026,6,2512651,8523321,9257436,0.9207,890243106
Summit Engineering Ltd,"50 Business Park, City_76, UK",Netherlands,Electronics Manufacturing,Energy Offshore,Aon UK Ltd,Products Liability,20-03-2026,0,2389787,2437799,2967498,0.8215,843998032
Redwood Industries Ltd,"161 Business Park, City_138, UK",France,Marine Shipping,General Liability,Marsh Ltd,Property Damage & BI,09-03-2026,2,327218,818911,1917826,0.427,588010499
Crown Shipping Ltd,"126 Business Park, City_144, UK",Germany,Marine Shipping,Marine Hull,Lockton Companies,Products Liability,27-01-2026,1,1034540,2419735,11419235,0.2119,1305601317
Oakridge Logistics Ltd,"83 Business Park, City_170, UK",France,Electronics Manufacturing,Marine Hull,WTW London,Energy,05-01-2026,6,825560,2179871,13267628,0.1643,949456026
Redwood Technologies Ltd,"63 Business Park, City_77, UK",France,Financial Advisory,Marine Hull,Howden UK,Energy,07-03-2026,5,499924,1214893,3934241,0.3088,755425838
Redwood Group PLC,"142 Business Park, City_110, UK",Singapore,Food Processing,Products Liability,Gallagher London,Marine,15-02-2026,6,353518,2143948,2645544,0.8104,1160213984
Ironclad Group PLC,"11 Business Park, City_76, UK",Singapore,Retail & Distribution,Marine Hull,BMS Group,Energy,03-03-2026,1,616729,2018794,8623640,0.2341,66974410
Silverstone Logistics Ltd,"177 Business Park, City_190, UK",United Kingdom,Food Processing,Products Liability,Gallagher London,Casualty,19-02-2026,2,158483,1835701,1884510,0.9741,1275659629
Crown Industries Ltd,"29 Business Park, City_172, UK",United Kingdom,Marine Shipping,Industrial All Risks,Marsh Ltd,Casualty,13-01-2026,1,2081120,2423824,2678851,0.9048,708519465
Redwood Holdings Ltd,"130 Business Park, City_81, UK",United Kingdom,Financial Advisory,Industrial All Risks,WTW London,Marine,08-02-2026,3,291486,1456318,2817408,0.5169,1439496885
Ironclad Holdings Ltd,"124 Business Park, City_93, UK",Germany,Oil & Gas Services,Industrial All Risks,Marsh Ltd,Financial Lines,20-01-2026,3,735714,1767713,4602222,0.3841,1054665310
Oakridge Energy Services Ltd,"93 Business Park, City_157, UK",United Kingdom,Oil & Gas Services,Industrial All Risks,Howden UK,Marine,11-02-2026,2,1313436,2081828,2204393,0.9444,881808684
Atlantic Shipping Ltd,"66 Business Park, City_75, UK",Netherlands,Manufacturing,Products Liability,Marsh Ltd,Financial Lines,29-01-2026,6,4981823,6221245,7069597,0.88,893950887
Redwood Capital Partners Ltd,"27 Business Park, City_104, UK",Germany,Oil & Gas Services,Energy Offshore,Howden UK,Energy,15-02-2026,2,1602237,2642323,5105940,0.5175,68976565
Highland Group PLC,"229 Business Park, City_30, UK",United States,Manufacturing,General Liability,Marsh Ltd,Property Damage & BI,20-01-2026,2,786233,3730755,8268519,0.4512,796507020
Greenfield Foods Ltd,"60 Business Park, City_45, UK",United States,Food Processing,Marine Hull,Lockton Companies,Products Liability,26-03-2026,5,1346185,4910829,5095279,0.9638,60209277
Harbour Foods Ltd,"19 Business Park, City_171, UK",United States,Food Processing,Industrial All Risks,Aon UK Ltd,Property Damage & BI,23-03-2026,5,1243493,2717060,5317143,0.511,259274464
Northbridge Industries Ltd,"50 Business Park, City_80, UK",France,Construction Contractor,Marine Hull,Marsh Ltd,Property Damage & BI,10-02-2026,2,2544561,6034693,8345586,0.7231,198042216
